FID_gggg,Y_Bike_accidents_density,X1_Proportion_of_mainroad,X2_Proportion_of_busline,X3_Proportion_of_cycleline,X4_Proportion_of_mixedline,X5_Proportion_of_20limit,X6_Cross_road_density,X7_Carpark_density,X8_Altitude_STD,X9_TfcLight_density,X10_Light_density,X11_Light_flux_density,X12_Limit30
7,0.001682,0.724818805,0.001015506,0.207208841,0.224962112,0,0.030144988,0.010608966,2.012625893,0.055632381,0.087071146,0.948603261,0.195474346
8,0.001292,0.623779909,0.050017143,0.377719089,0.039264901,0,0.026042603,0.014551219,4.001591999,0.049161362,0.100362615,0.9475618,0.180492874
9,0.001134,0.355342435,0.022939638,0.32653517,0.119324744,0,0.027942705,0.01860624,6.036739076,0.078826436,0.11577216,0.998558891,0.211282902
10,0.00161,0.361709723,0.003783089,0.210095909,0.03116475,0,0.029806429,0.026015716,4.996535291,0.076437392,0.131169057,1.178605491,0.181531653
24,0.000866,0.346913505,0.028655932,0.217097287,0.00194629,0,0.031776935,0.027067236,3.659111737,0.069779333,0.184382009,2.709674215,0.428692151
26,0.002265,0.239038537,0.036881679,0.317654892,0.183295459,0,0.028764266,0.036328737,4.373292181,0.045820463,0.093086367,0.729642695,0.833085257
28,0.002642,0.290442201,0.055505768,0.409254006,0.071195238,0.037914354,0.03102965,0.043617638,4.12661121,0.079050493,0.121994699,0.864770953,0.612583638
29,0.001103,0.084830558,0.00580763,0.060904321,0.081788135,0,0.029601978,0.031440611,6.987364175,0.046655292,0.120706204,0.846423203,0.712574223
40,0.000983,0.291195509,0.007328232,0.264691877,0.10571238,0,0.025512835,0.020248282,0.713992748,0.077579846,0.152382785,1.171976923,0.006497331
41,0.002156,0.074921926,0.019888106,0.084470951,0.176255516,0.012709847,0.030368958,0.051693119,5.01569329,0.055646474,0.0888906,0.731445947,0.291422995
42,0.001477,0.005594524,0.014900758,0.001199454,0.257679969,0.036400854,0.030716206,0.052467151,6.058577765,0.046048839,0.08353993,0.782522342,0.780695018
45,0.001675,0.198574451,0.026053217,0.279446904,0.187530459,0,0.030859455,0.042162628,6.489376102,0.088990057,0.109024781,0.783475639,0.513039225
